attack,target_type,nationality,weapon
Armed Assault,Government (General),Sweden,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Religious Figures/Institutions,France,Unknown
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Armed Assault,Government (General),Peru,Firearms
Assassination,Government (General),Peru,Unknown
Bombing/Explosion,Unknown,Ireland,Explosives/Bombs/Dynamite
Unarmed Assault,Business,Sri Lanka,Chemical
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Peru,Firearms
Hostage Taking (Kidnapping),Government (General),Philippines,Unknown
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Assassination,Government (General),Peru,Firearms
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Peru,Firearms
Unarmed Assault,Government (General),Peru,Melee
Bombing/Explosion,Military,Sri Lanka,Firearms
